Month,Region,Main_Category,Sub_Category,Product_Line,Price_Tier,Units_Sold,Revenue_USD,Online_Sales_Percentage,Retail_Price
September,Greater China,Footwear,Lifestyle,Air Max,Budget,33989,4418570,51,130
August,Japan,Footwear,Lifestyle,Blazer,Premium,39447,8678340,59,220
September,Greater China,Apparel,Outerwear,Windrunner,Premium,41665,10832900,60,260
July,Southeast Asia,Footwear,Lifestyle,Air Force 1,Mid-Range,48935,11255050,75,230
April,Greater China,Footwear,Cricket,Vapor Cricket,Mid-Range,31306,8452620,79,270
July,South Korea,Apparel,Outerwear,Rain Jacket,Mid-Range,9218,1659240,88,180
March,Southeast Asia,Footwear,Running,Pegasus,Budget,17097,2906490,90,170
May,Greater China,Footwear,Lifestyle,Blazer,Premium,20719,1864710,65,90
September,Greater China,Footwear,Basketball,LeBron Series,Budget,12456,996480,80,80
May,Greater China,Equipment,Bags,Gym Sack,Budget,36767,9559420,52,260
October,South Korea,Equipment,Bags,Backpack,Premium,35801,3938110,63,110
November,Japan,Apparel,Outerwear,Rain Jacket,Mid-Range,42813,10703250,78,250
October,Europe,Apparel,Outerwear,Windrunner,Mid-Range,40882,6132300,62,150
January,America,Footwear,Football,Mercurial,Mid-Range,11227,2582210,50,230
July,India,Footwear,Lifestyle,Blazer,Budget,31163,6544230,76,210
June,Europe,Footwear,Cricket,Vapor Cricket,Budget,46617,5594040,57,120
February,Japan,Equipment,Bags,Backpack,Budget,43543,10014890,58,230
June,Southeast Asia,Equipment,Bags,Gym Sack,Budget,14871,3717750,76,250
December,Europe,Equipment,Socks,Crew Socks,Mid-Range,49189,14264810,61,290
April,Greater China,Apparel,Tops,Therma-FIT,Mid-Range,37179,5948640,63,160
August,Japan,Footwear,Basketball,Air Jordan,Premium,21319,5116560,77,240
August,India,Equipment,Accessories,Bags,Mid-Range,18855,3205350,59,170
September,Japan,Apparel,Performance,Compression Wear,Mid-Range,35777,7513170,87,210
October,India,Footwear,Lifestyle,Air Force 1,Mid-Range,48761,6826540,86,140
January,India,Equipment,Bags,Gym Sack,Premium,33330,4332900,58,130
August,South Korea,Apparel,Tops,Therma-FIT,Premium,38300,8043000,77,210
May,Southeast Asia,Footwear,Basketball,LeBron Series,Budget,40333,3226640,70,80
September,Greater China,Footwear,Lifestyle,Air Force 1,Budget,19589,3721910,74,190
January,India,Apparel,Outerwear,Rain Jacket,Mid-Range,29713,3862690,61,130
August,South Korea,Footwear,Basketball,LeBron Series,Budget,25822,1549320,83,60
May,America,Equipment,Socks,Crew Socks,Mid-Range,47868,12924360,68,270
February,Southeast Asia,Equipment,Bags,Gym Sack,Premium,14342,4302600,55,300
October,Greater China,Apparel,Outerwear,Rain Jacket,Budget,47459,8542620,72,180
February,India,Footwear,Lifestyle,Air Force 1,Premium,33324,5665080,85,170
December,America,Apparel,Tops,Therma-FIT,Mid-Range,48156,4815600,77,100
November,South Korea,Apparel,Outerwear,Rain Jacket,Budget,9668,773440,50,80
September,Greater China,Footwear,Cricket,Vapor Cricket,Mid-Range,46497,13019160,55,280
May,India,Equipment,Bags,Gym Sack,Budget,40023,4402530,72,110
November,South Korea,Apparel,Performance,Dri-FIT,Mid-Range,20895,5014800,71,240
January,Greater China,Apparel,Outerwear,Rain Jacket,Premium,38015,11404500,88,300
January,South Korea,Equipment,Bags,Gym Sack,Premium,45608,11402000,61,250
June,Southeast Asia,Equipment,Socks,Crew Socks,Premium,6685,2005500,52,300
October,Europe,Footwear,Running,Pegasus,Mid-Range,27118,7864220,72,290
June,Greater China,Footwear,Basketball,KD Series,Premium,15574,2803320,63,180
November,Southeast Asia,Apparel,Performance,Compression Wear,Budget,34614,4153680,89,120
July,Japan,Apparel,Outerwear,Rain Jacket,Budget,19804,3366680,64,170
February,America,Footwear,Football,Phantom Vision,Mid-Range,26040,7291200,56,280
February,Europe,Apparel,Performance,Compression Wear,Budget,25668,3080160,73,120
February,Japan,Equipment,Accessories,Bags,Budget,16912,4904480,63,290
June,Europe,Apparel,Outerwear,Rain Jacket,Premium,20702,4347420,64,210
September,Greater China,Apparel,Outerwear,Rain Jacket,Budget,48498,4849800,71,100
November,Southeast Asia,Apparel,Performance,Dri-FIT,Mid-Range,20355,2239050,70,110
July,Greater China,Apparel,Outerwear,Rain Jacket,Budget,35570,2845600,53,80
February,Greater China,Equipment,Accessories,Bags,Mid-Range,29655,5931000,90,200
February,South Korea,Footwear,Lifestyle,Blazer,Budget,27263,8178900,52,300
April,America,Footwear,Cricket,Vapor Cricket,Mid-Range,29642,8892600,83,300
March,America,Footwear,Cricket,Vapor Cricket,Mid-Range,24934,3490760,50,140
August,America,Footwear,Lifestyle,Air Force 1,Mid-Range,20762,3944780,59,190
October,Europe,Apparel,Performance,Dri-FIT,Budget,15167,4550100,85,300
March,Japan,Apparel,Outerwear,Windrunner,Mid-Range,33184,1659200,78,50
February,South Korea,Footwear,Running,React Infinity,Premium,6983,698300,62,100
February,Europe,Equipment,Accessories,Bags,Budget,13199,1583880,81,120
March,South Korea,Apparel,Outerwear,Windrunner,Mid-Range,13667,1230030,84,90
November,Japan,Apparel,Tops,Therma-FIT,Mid-Range,14576,3060960,81,210
May,Europe,Equipment,Bags,Backpack,Mid-Range,41984,12175360,63,290
December,Europe,Footwear,Running,Pegasus,Premium,46870,5155700,66,110
May,Southeast Asia,Apparel,Outerwear,Windrunner,Premium,13242,2648400,89,200
October,South Korea,Equipment,Socks,Performance Socks,Mid-Range,25199,3275870,52,130
November,South Korea,Footwear,Cricket,Vapor Cricket,Budget,49867,11968080,66,240
January,Greater China,Equipment,Bags,Gym Sack,Premium,34759,7299390,56,210
August,Southeast Asia,Apparel,Performance,Compression Wear,Mid-Range,12203,2440600,66,200
May,Southeast Asia,Footwear,Basketball,Air Jordan,Budget,34267,4112040,54,120
June,Europe,Apparel,Performance,Compression Wear,Premium,9759,1854210,63,190
January,South Korea,Apparel,Outerwear,Windrunner,Premium,39351,6689670,70,170
June,India,Equipment,Bags,Gym Sack,Premium,13901,2085150,89,150
September,South Korea,Footwear,Running,React Infinity,Mid-Range,18569,1485520,52,80
December,America,Apparel,Tops,Therma-FIT,Budget,14998,3149580,59,210
April,South Korea,Footwear,Football,Phantom Vision,Mid-Range,7276,800360,87,110
July,America,Equipment,Accessories,Hats,Budget,49315,9369850,50,190
April,South Korea,Equipment,Socks,Crew Socks,Budget,29270,3219700,64,110
July,America,Apparel,Tops,Therma-FIT,Budget,34623,2769840,74,80
April,Japan,Apparel,Outerwear,Rain Jacket,Mid-Range,31758,5716440,54,180
March,South Korea,Footwear,Basketball,LeBron Series,Budget,20902,3135300,70,150
June,India,Footwear,Cricket,Vapor Cricket,Premium,28438,8247020,61,290
October,India,Apparel,Tops,Tech Fleece,Budget,42709,3843810,55,90
February,Greater China,Equipment,Accessories,Bags,Premium,15141,3633840,72,240
May,India,Equipment,Socks,Performance Socks,Mid-Range,31908,6381600,62,200
October,Southeast Asia,Equipment,Socks,Crew Socks,Budget,23709,6875610,76,290
November,Southeast Asia,Equipment,Socks,Performance Socks,Budget,27222,7894380,88,290
November,Japan,Equipment,Accessories,Hats,Budget,32047,7370810,76,230
February,Europe,Equipment,Accessories,Bags,Mid-Range,47887,6704180,85,140
June,Greater China,Footwear,Football,Mercurial,Premium,47260,8034200,50,170
March,Japan,Footwear,Running,React Infinity,Budget,23185,4405150,84,190
May,South Korea,Apparel,Outerwear,Rain Jacket,Premium,37706,9803560,90,260
August,Europe,Footwear,Basketball,KD Series,Budget,48951,5384610,74,110
October,South Korea,Apparel,Performance,Dri-FIT,Premium,40620,11779800,52,290
September,Greater China,Equipment,Accessories,Hats,Budget,31498,5669640,74,180
June,Greater China,Apparel,Performance,Dri-FIT,Budget,38295,8807850,88,230
May,India,Footwear,Football,Phantom Vision,Budget,26582,6911320,80,260
November,Southeast Asia,Footwear,Basketball,Air Jordan,Premium,25327,5571940,73,220
September,Japan,Apparel,Tops,Tech Fleece,Premium,11159,1004310,90,90
September,Greater China,Footwear,Basketball,KD Series,Budget,29145,7286250,87,250
May,South Korea,Apparel,Tops,Therma-FIT,Premium,10849,1301880,85,120
March,America,Equipment,Socks,Crew Socks,Mid-Range,23576,3064880,78,130
January,America,Equipment,Bags,Backpack,Budget,17353,3644130,72,210
November,South Korea,Apparel,Outerwear,Windrunner,Premium,34752,9730560,64,280
June,Japan,Equipment,Socks,Crew Socks,Budget,31632,9173280,56,290
April,Europe,Footwear,Football,Mercurial,Mid-Range,18543,2966880,67,160
March,Europe,Equipment,Accessories,Hats,Mid-Range,18869,5660700,60,300
May,Europe,Footwear,Lifestyle,Air Force 1,Premium,30306,6061200,57,200
December,South Korea,Apparel,Outerwear,Windrunner,Mid-Range,38275,8803250,66,230
November,America,Footwear,Running,Pegasus,Mid-Range,21022,1681760,51,80
October,America,Apparel,Performance,Compression Wear,Budget,23527,6352290,67,270
December,America,Equipment,Bags,Backpack,Mid-Range,28350,7654500,63,270
October,South Korea,Equipment,Bags,Gym Sack,Premium,48978,8326260,73,170
December,Europe,Footwear,Basketball,LeBron Series,Premium,44791,3135370,66,70
May,America,Equipment,Socks,Performance Socks,Premium,11269,1915730,68,170
July,Japan,Equipment,Socks,Performance Socks,Premium,17245,4828600,51,280
August,South Korea,Apparel,Tops,Tech Fleece,Premium,26006,1300300,79,50
May,Southeast Asia,Equipment,Bags,Gym Sack,Premium,46989,10807470,59,230
October,America,Apparel,Performance,Dri-FIT,Budget,42409,4240900,77,100
February,Greater China,Apparel,Outerwear,Windrunner,Premium,30036,6607920,71,220
February,South Korea,Apparel,Performance,Compression Wear,Budget,38877,3498930,59,90
October,Greater China,Equipment,Bags,Backpack,Premium,38457,2307420,53,60
July,Europe,Footwear,Running,Air Zoom,Budget,48598,2915880,77,60
January,Southeast Asia,Equipment,Accessories,Hats,Premium,17458,2793280,76,160
February,Japan,Footwear,Basketball,LeBron Series,Mid-Range,9210,2394600,86,260
June,Japan,Footwear,Running,Air Zoom,Budget,43304,6928640,64,160
January,Europe,Equipment,Bags,Gym Sack,Premium,11470,1032300,59,90
August,Japan,Footwear,Lifestyle,Air Max,Mid-Range,12727,3054480,73,240
January,Southeast Asia,Footwear,Lifestyle,Air Max,Premium,40727,8145400,84,200
May,America,Footwear,Running,Pegasus,Premium,18093,1266510,66,70
January,Japan,Apparel,Outerwear,Rain Jacket,Mid-Range,35894,8614560,56,240
March,Greater China,Footwear,Cricket,Vapor Cricket,Premium,28663,2866300,82,100
December,South Korea,Footwear,Cricket,Vapor Cricket,Mid-Range,25039,5758970,85,230
March,South Korea,Equipment,Bags,Backpack,Mid-Range,26249,7349720,55,280
November,America,Footwear,Lifestyle,Air Max,Mid-Range,20526,5336760,55,260
January,Greater China,Apparel,Performance,Compression Wear,Premium,16756,1172920,56,70
March,Southeast Asia,Footwear,Cricket,Vapor Cricket,Mid-Range,7882,1970500,59,250
January,Europe,Apparel,Outerwear,Rain Jacket,Budget,36582,9511320,81,260
May,America,Apparel,Outerwear,Windrunner,Premium,48177,14453100,53,300
August,India,Footwear,Football,Mercurial,Budget,46338,6950700,64,150
January,India,Footwear,Basketball,KD Series,Mid-Range,47343,11835750,87,250
July,Japan,Apparel,Performance,Compression Wear,Premium,12945,3106800,66,240
October,Europe,Equipment,Bags,Backpack,Budget,5248,1574400,73,300
February,Europe,Footwear,Basketball,Air Jordan,Premium,11691,1169100,51,100
July,Europe,Footwear,Basketball,Air Jordan,Mid-Range,6668,866840,74,130
August,America,Equipment,Socks,Crew Socks,Premium,46693,12140180,59,260
May,Japan,Footwear,Lifestyle,Blazer,Premium,44299,11960730,87,270
September,Japan,Footwear,Lifestyle,Air Force 1,Mid-Range,20109,1005450,74,50
September,Southeast Asia,Apparel,Tops,Tech Fleece,Budget,16258,1300640,60,80
June,Southeast Asia,Apparel,Outerwear,Windrunner,Premium,47663,2859780,71,60
August,South Korea,Footwear,Running,Air Zoom,Budget,37890,10988100,62,290
February,South Korea,Equipment,Bags,Gym Sack,Premium,46554,6983100,77,150
March,America,Apparel,Tops,Tech Fleece,Mid-Range,21235,4671700,87,220
March,India,Equipment,Accessories,Bags,Mid-Range,44806,9409260,76,210
August,South Korea,Equipment,Accessories,Hats,Premium,45238,5880940,75,130
February,South Korea,Equipment,Socks,Performance Socks,Premium,16435,3451350,74,210
November,Europe,Footwear,Running,Air Zoom,Mid-Range,13131,1313100,66,100
May,America,Equipment,Socks,Performance Socks,Premium,28331,4249650,82,150
March,South Korea,Apparel,Outerwear,Windrunner,Mid-Range,46070,13821000,79,300
February,South Korea,Footwear,Running,React Infinity,Budget,28383,5392770,62,190
October,Japan,Equipment,Accessories,Bags,Budget,43425,8685000,60,200
December,South Korea,Apparel,Tops,Therma-FIT,Mid-Range,26534,5306800,73,200
April,Europe,Equipment,Bags,Gym Sack,Budget,22560,2256000,83,100
July,Southeast Asia,Apparel,Outerwear,Windrunner,Premium,36096,6136320,50,170
March,America,Apparel,Outerwear,Windrunner,Premium,34400,2408000,62,70
July,India,Footwear,Football,Mercurial,Budget,32558,5209280,82,160
November,Europe,Apparel,Tops,Therma-FIT,Budget,13551,813060,61,60
May,America,Footwear,Cricket,Vapor Cricket,Budget,46947,2347350,84,50
September,Southeast Asia,Apparel,Outerwear,Rain Jacket,Mid-Range,14191,993370,85,70
March,Greater China,Apparel,Performance,Compression Wear,Budget,13384,3747520,50,280
July,Japan,Apparel,Outerwear,Windrunner,Premium,30645,5516100,75,180
September,America,Equipment,Accessories,Bags,Budget,13249,2914780,78,220
February,India,Equipment,Accessories,Hats,Mid-Range,46496,3719680,75,80
January,Greater China,Footwear,Running,Pegasus,Premium,24043,1923440,64,80
January,Greater China,Equipment,Bags,Backpack,Mid-Range,28958,6660340,51,230
February,America,Footwear,Running,React Infinity,Premium,31946,1916760,87,60
October,Japan,Equipment,Bags,Gym Sack,Budget,46000,11960000,88,260
June,South Korea,Equipment,Accessories,Hats,Budget,28707,4018980,60,140
June,India,Footwear,Basketball,LeBron Series,Mid-Range,33490,2344300,80,70
May,Europe,Equipment,Socks,Crew Socks,Mid-Range,47752,8595360,54,180
April,Southeast Asia,Footwear,Running,Pegasus,Premium,36810,11043000,78,300
July,America,Apparel,Performance,Dri-FIT,Budget,24373,3655950,84,150
June,South Korea,Apparel,Performance,Dri-FIT,Premium,16136,4840800,71,300
October,Europe,Footwear,Lifestyle,Air Max,Premium,29114,1746840,58,60
July,America,Footwear,Football,Phantom Vision,Premium,48966,10282860,51,210
August,America,Apparel,Tops,Tech Fleece,Mid-Range,13477,673850,62,50
June,America,Equipment,Accessories,Bags,Mid-Range,39529,7510510,58,190
March,Greater China,Apparel,Performance,Dri-FIT,Premium,48818,8787240,90,180
October,America,Footwear,Basketball,Air Jordan,Mid-Range,48698,5843760,88,120
July,India,Equipment,Bags,Backpack,Budget,16921,3553410,65,210
December,Southeast Asia,Equipment,Socks,Crew Socks,Premium,43906,9220260,50,210
August,Europe,Apparel,Outerwear,Windrunner,Mid-Range,35554,2133240,90,60
October,Greater China,Equipment,Bags,Backpack,Budget,10701,2033190,65,190
April,Japan,Equipment,Bags,Backpack,Premium,36747,5879520,56,160
April,India,Apparel,Outerwear,Rain Jacket,Mid-Range,31764,5082240,74,160
February,Southeast Asia,Footwear,Lifestyle,Air Force 1,Budget,39777,11137560,72,280
October,Greater China,Apparel,Outerwear,Rain Jacket,Premium,15851,2219140,79,140
June,Greater China,Apparel,Outerwear,Windrunner,Budget,40981,4098100,76,100
January,America,Apparel,Outerwear,Windrunner,Mid-Range,43842,11837340,62,270
June,Greater China,Apparel,Outerwear,Windrunner,Premium,23621,7086300,68,300
December,Europe,Equipment,Accessories,Hats,Mid-Range,26797,8039100,55,300
July,Europe,Footwear,Football,Phantom Vision,Mid-Range,21874,5905980,84,270
March,Europe,Apparel,Tops,Tech Fleece,Mid-Range,30887,8339490,72,270
June,America,Apparel,Tops,Therma-FIT,Premium,46707,7006050,61,150
May,Greater China,Equipment,Accessories,Hats,Mid-Range,43332,6499800,52,150
August,South Korea,Footwear,Running,Pegasus,Budget,17385,869250,87,50
April,America,Apparel,Performance,Dri-FIT,Budget,23160,5326800,73,230
May,India,Apparel,Performance,Compression Wear,Budget,24495,1714650,53,70
June,Europe,Apparel,Outerwear,Rain Jacket,Premium,48710,13151700,77,270
February,America,Equipment,Socks,Crew Socks,Premium,21620,3026800,75,140
June,India,Apparel,Outerwear,Rain Jacket,Premium,14102,1410200,88,100
October,Europe,Equipment,Socks,Performance Socks,Mid-Range,48555,4369950,61,90
May,America,Equipment,Bags,Gym Sack,Budget,40117,2407020,66,60
December,Greater China,Footwear,Cricket,Vapor Cricket,Mid-Range,43220,11669400,82,270
April,America,Apparel,Performance,Compression Wear,Premium,35933,8623920,62,240
October,Japan,Apparel,Performance,Compression Wear,Premium,18365,2571100,69,140
December,Southeast Asia,Equipment,Bags,Gym Sack,Premium,34732,6599080,84,190
December,Japan,Footwear,Cricket,Vapor Cricket,Budget,48785,3902800,75,80
November,America,Footwear,Cricket,Vapor Cricket,Budget,14199,3265770,72,230
September,Japan,Equipment,Socks,Performance Socks,Premium,45125,6768750,53,150
September,India,Apparel,Tops,Tech Fleece,Premium,32020,8325200,62,260
August,India,Equipment,Socks,Performance Socks,Mid-Range,48701,7792160,55,160
June,Greater China,Footwear,Lifestyle,Air Force 1,Mid-Range,7535,2185150,52,290
February,America,Footwear,Basketball,LeBron Series,Premium,37161,5202540,68,140
May,Japan,Apparel,Outerwear,Windrunner,Premium,42278,2536680,62,60
June,India,Equipment,Socks,Performance Socks,Budget,33002,2970180,55,90
April,India,Equipment,Socks,Crew Socks,Premium,42179,6748640,73,160
October,South Korea,Footwear,Lifestyle,Blazer,Premium,5918,591800,69,100
October,India,Equipment,Socks,Crew Socks,Mid-Range,25544,5619680,72,220
August,America,Apparel,Tops,Therma-FIT,Budget,32897,3947640,65,120
June,Southeast Asia,Apparel,Tops,Therma-FIT,Mid-Range,19823,2775220,75,140
August,India,Apparel,Performance,Dri-FIT,Budget,44803,2688180,89,60
May,South Korea,Equipment,Bags,Backpack,Budget,19094,4200680,62,220
January,Europe,Apparel,Outerwear,Rain Jacket,Budget,10815,2703750,76,250
February,Japan,Footwear,Football,Mercurial,Budget,32822,7877280,55,240
August,Europe,Equipment,Socks,Crew Socks,Premium,7360,1766400,70,240
March,South Korea,Equipment,Bags,Gym Sack,Budget,41855,5022600,71,120
May,South Korea,Equipment,Accessories,Hats,Mid-Range,45270,9959400,68,220
December,Greater China,Footwear,Football,Mercurial,Mid-Range,6196,867440,82,140
May,America,Apparel,Tops,Tech Fleece,Premium,35066,4558580,77,130
April,South Korea,Apparel,Tops,Tech Fleece,Mid-Range,19979,2996850,67,150
February,Southeast Asia,Footwear,Basketball,KD Series,Mid-Range,20775,3324000,54,160
June,America,Equipment,Accessories,Bags,Premium,38431,3843100,74,100
December,India,Equipment,Accessories,Bags,Premium,45317,5438040,90,120
October,Greater China,Footwear,Lifestyle,Air Force 1,Premium,32471,7468330,87,230
September,America,Footwear,Football,Mercurial,Premium,44300,6202000,71,140
September,India,Equipment,Socks,Performance Socks,Premium,20419,6125700,54,300
March,South Korea,Apparel,Outerwear,Windrunner,Premium,49035,4903500,75,100
June,America,Equipment,Bags,Gym Sack,Mid-Range,28120,7873600,77,280
September,Greater China,Equipment,Socks,Performance Socks,Mid-Range,45500,6370000,60,140
September,Europe,Apparel,Outerwear,Windrunner,Budget,43225,2593500,81,60
March,Europe,Footwear,Football,Mercurial,Budget,32814,4922100,53,150
June,Europe,Apparel,Outerwear,Rain Jacket,Budget,19807,4357540,73,220
May,Greater China,Footwear,Football,Mercurial,Premium,8861,974710,73,110
July,Europe,Apparel,Performance,Dri-FIT,Premium,7001,700100,90,100
July,Japan,Footwear,Cricket,Vapor Cricket,Mid-Range,36808,10306240,74,280
November,Europe,Equipment,Accessories,Bags,Budget,16821,1513890,77,90
April,Greater China,Footwear,Basketball,Air Jordan,Premium,45686,10507780,56,230
December,Japan,Apparel,Outerwear,Rain Jacket,Premium,35978,9714060,80,270
December,India,Equipment,Socks,Performance Socks,Premium,11499,1149900,71,100
December,Japan,Equipment,Bags,Gym Sack,Budget,39321,10223460,58,260
December,America,Equipment,Bags,Backpack,Premium,8529,767610,65,90
June,South Korea,Equipment,Accessories,Bags,Premium,40467,6070050,78,150
March,Greater China,Equipment,Bags,Gym Sack,Mid-Range,20751,3527670,63,170
November,Greater China,Footwear,Lifestyle,Air Force 1,Budget,6167,1788430,80,290
March,South Korea,Equipment,Bags,Backpack,Mid-Range,26012,3641680,54,140
December,Japan,Footwear,Basketball,LeBron Series,Premium,33549,4025880,73,120
November,Japan,Apparel,Outerwear,Windrunner,Premium,24397,5611310,62,230
September,America,Footwear,Football,Phantom Vision,Budget,24032,6969280,77,290
September,Greater China,Apparel,Outerwear,Rain Jacket,Premium,31506,3465660,89,110
June,Europe,Equipment,Bags,Backpack,Budget,5204,1092840,86,210
May,America,Footwear,Basketball,LeBron Series,Budget,32810,9186800,61,280
December,Greater China,Footwear,Football,Mercurial,Mid-Range,13935,2508300,80,180
October,Southeast Asia,Apparel,Tops,Tech Fleece,Budget,11789,1178900,65,100
August,South Korea,Equipment,Bags,Gym Sack,Premium,32930,7573900,65,230
February,South Korea,Equipment,Accessories,Bags,Mid-Range,30908,1545400,70,50
April,India,Apparel,Performance,Compression Wear,Mid-Range,34547,9327690,61,270
June,Japan,Equipment,Bags,Gym Sack,Mid-Range,21383,4918090,60,230
November,Southeast Asia,Apparel,Tops,Therma-FIT,Budget,37241,7820610,73,210
July,South Korea,Footwear,Lifestyle,Air Force 1,Mid-Range,42093,5472090,53,130
November,America,Apparel,Tops,Tech Fleece,Mid-Range,14181,3687060,64,260
May,America,Equipment,Accessories,Bags,Budget,39209,5881350,79,150
May,Europe,Equipment,Accessories,Hats,Premium,47189,10381580,66,220
December,India,Equipment,Accessories,Hats,Premium,13576,2579440,70,190
June,India,Apparel,Outerwear,Rain Jacket,Budget,12056,2411200,55,200
January,Greater China,Equipment,Bags,Backpack,Mid-Range,8922,2230500,61,250
September,Japan,Equipment,Socks,Crew Socks,Mid-Range,9146,2560880,58,280
June,Southeast Asia,Apparel,Tops,Therma-FIT,Premium,15815,1107050,71,70
February,Greater China,Equipment,Accessories,Bags,Premium,48062,3364340,79,70
July,America,Footwear,Football,Phantom Vision,Mid-Range,39446,10255960,73,260
September,Japan,Footwear,Cricket,Vapor Cricket,Mid-Range,43743,11810610,62,270
July,Japan,Footwear,Cricket,Vapor Cricket,Premium,49214,5905680,87,120
September,America,Equipment,Accessories,Hats,Budget,13429,671450,57,50
March,India,Footwear,Basketball,Air Jordan,Budget,34185,6495150,81,190
August,America,Equipment,Socks,Performance Socks,Budget,45111,12631080,89,280
April,Europe,Footwear,Basketball,LeBron Series,Mid-Range,23633,3072290,59,130
September,South Korea,Equipment,Bags,Backpack,Mid-Range,8166,2123160,50,260
December,America,Apparel,Outerwear,Windrunner,Mid-Range,40694,11801260,68,290
January,South Korea,Equipment,Accessories,Bags,Premium,42040,2942800,79,70
July,India,Equipment,Socks,Performance Socks,Premium,39083,10943240,76,280
December,South Korea,Apparel,Outerwear,Windrunner,Premium,20586,1029300,78,50
November,South Korea,Apparel,Outerwear,Windrunner,Budget,21072,1685760,89,80
August,India,Equipment,Accessories,Hats,Budget,27074,5414800,86,200
August,Japan,Apparel,Outerwear,Rain Jacket,Budget,27739,1664340,50,60
June,India,Footwear,Basketball,KD Series,Mid-Range,19144,3828800,71,200
April,America,Equipment,Accessories,Bags,Budget,23104,5082880,85,220
February,Europe,Equipment,Socks,Crew Socks,Budget,26136,4443120,78,170
June,Japan,Apparel,Outerwear,Windrunner,Budget,31376,7844000,54,250
May,India,Apparel,Outerwear,Windrunner,Mid-Range,15046,3761500,88,250
February,Europe,Apparel,Tops,Therma-FIT,Premium,8137,2115620,59,260
August,America,Footwear,Football,Mercurial,Premium,21248,5099520,53,240
March,South Korea,Apparel,Tops,Tech Fleece,Premium,7242,506940,60,70
October,Europe,Equipment,Socks,Crew Socks,Premium,9312,1862400,60,200
June,Southeast Asia,Footwear,Lifestyle,Blazer,Mid-Range,47243,3307010,87,70
July,South Korea,Apparel,Performance,Dri-FIT,Premium,27633,1934310,63,70
April,Southeast Asia,Equipment,Accessories,Hats,Premium,40542,4865040,55,120
November,America,Footwear,Cricket,Vapor Cricket,Budget,22761,6828300,74,300
December,Japan,Equipment,Bags,Backpack,Mid-Range,41202,2060100,89,50
August,India,Equipment,Socks,Performance Socks,Budget,19369,5423320,64,280
December,America,Apparel,Tops,Tech Fleece,Budget,28738,1436900,88,50
April,Japan,Equipment,Socks,Crew Socks,Premium,9244,1848800,70,200
July,South Korea,Apparel,Outerwear,Windrunner,Premium,15989,2558240,61,160
June,Japan,Footwear,Football,Mercurial,Budget,23927,2153430,54,90
April,Japan,Equipment,Accessories,Hats,Premium,18952,3411360,78,180
December,Greater China,Footwear,Football,Phantom Vision,Budget,6270,313500,67,50
March,India,Footwear,Cricket,Vapor Cricket,Mid-Range,29651,5337180,66,180
October,Southeast Asia,Apparel,Performance,Compression Wear,Mid-Range,10017,1001700,88,100
September,Japan,Apparel,Tops,Tech Fleece,Premium,42516,8928360,78,210
October,India,Equipment,Accessories,Hats,Mid-Range,9870,987000,82,100
July,Europe,Equipment,Socks,Performance Socks,Mid-Range,14668,2640240,88,180
August,Japan,Footwear,Football,Phantom Vision,Premium,15078,2261700,74,150
May,South Korea,Equipment,Socks,Crew Socks,Premium,26242,1312100,52,50
December,Japan,Footwear,Cricket,Vapor Cricket,Mid-Range,18133,5077240,68,280
